"","word","count","sentiment","n"
"1","abomination",1,"negative",1
"2","absence",1,"negative",1
"3","absurd",2,"negative",1
"4","abusive",1,"negative",1
"5","abyss",2,"negative",1
"6","accomplish",2,"positive",1
"7","accomplished",1,"positive",1
"8","accusations",1,"negative",1
"9","accuses",1,"negative",1
"10","accusing",1,"negative",1
"11","addicts",1,"negative",1
"12","admire",1,"positive",1
"13","advanced",2,"positive",1
"14","advantage",2,"positive",1
"15","affinity",1,"positive",1
"16","afraid",5,"negative",1
"17","aggression",1,"negative",1
"18","agony",1,"negative",1
"19","alarming",1,"negative",1
"20","amazed",1,"positive",1
"21","amazes",1,"positive",1
"22","amazing",3,"positive",1
"23","amusing",1,"positive",1
"24","anarchy",4,"negative",1
"25","anger",4,"negative",1
"26","angry",6,"negative",1
"27","antiquated",1,"negative",1
"28","apocalypse",2,"negative",1
"29","apocalyptic",1,"negative",1
"30","appalled",1,"negative",1
"31","appeal",1,"positive",1
"32","applaud",1,"positive",1
"33","appropriate",4,"positive",1
"34","arrogance",5,"negative",1
"35","arrogant",2,"negative",1
"36","ashamed",2,"negative",1
"37","assault",1,"negative",1
"38","assure",1,"positive",1
"39","astonishing",1,"positive",1
"40","astonishingly",1,"positive",1
"41","atrocities",1,"negative",1
"42","attack",11,"negative",1
"43","attacks",2,"negative",1
"44","attraction",1,"positive",1
"45","authoritarian",1,"negative",1
"46","autocratic",1,"negative",1
"47","autonomous",1,"positive",1
"48","awesome",4,"positive",1
"49","awful",1,"negative",1
"50","backbone",1,"positive",1
"51","bad",24,"negative",1
"52","balanced",1,"positive",1
"53","bankrupt",6,"negative",1
"54","barbarian",7,"negative",1
"55","barbaric",3,"negative",1
"56","bash",1,"negative",1
"57","bashing",1,"negative",1
"58","beautiful",9,"positive",1
"59","begging",1,"negative",1
"60","beloved",2,"positive",1
"61","bemused",1,"negative",1
"62","beneficial",1,"positive",1
"63","bent",2,"negative",1
"64","best",29,"positive",1
"65","betrayal",1,"negative",1
"66","better",39,"positive",1
"67","beware",3,"negative",1
"68","biased",2,"negative",1
"69","bigotry",3,"negative",1
"70","bitch",4,"negative",1
"71","bitter",1,"negative",1
"72","blame",8,"negative",1
"73","bless",7,"positive",1
"74","blessing",1,"positive",1
"75","blind",6,"negative",1
"76","bloated",2,"negative",1
"77","bloody",4,"negative",1
"78","bolster",1,"positive",1
"79","bomb",3,"negative",1
"80","bondage",2,"negative",1
"81","bonus",1,"positive",1
"82","boom",1,"positive",1
"83","boring",1,"negative",1
"84","brainwash",1,"negative",1
"85","brave",3,"positive",1
"86","break",8,"negative",1
"87","breakdown",4,"negative",1
"88","breaking",8,"negative",1
"89","breaks",3,"negative",1
"90","breakup",1,"negative",1
"91","breathtaking",1,"positive",1
"92","bright",1,"positive",1
"93","brighter",1,"positive",1
"94","brilliant",7,"positive",1
"95","broke",9,"negative",1
"96","broken",2,"negative",1
"97","brutal",1,"negative",1
"98","brutality",2,"negative",1
"99","brutally",1,"negative",1
"100","brute",1,"negative",1
"101","bs",1,"negative",1
"102","bug",2,"negative",1
"103","bullies",2,"negative",1
"104","bullshit",1,"negative",1
"105","bully",3,"negative",1
"106","bump",1,"negative",1
"107","bumped",1,"negative",1
"108","burn",11,"negative",1
"109","burned",8,"negative",1
"110","burning",4,"negative",1
"111","burns",3,"negative",1
"112","bust",1,"negative",1
"113","butcher",1,"negative",1
"114","byzantine",3,"negative",1
"115","calm",1,"positive",1
"116","cancer",1,"negative",1
"117","carelessness",1,"negative",1
"118","catchy",1,"positive",1
"119","celebrate",1,"positive",1
"120","celebrated",2,"positive",1
"121","celebration",1,"positive",1
"122","champ",5,"positive",1
"123","champion",8,"positive",1
"124","chaos",5,"negative",1
"125","chaotic",1,"negative",1
"126","charitable",1,"positive",1
"127","charm",1,"positive",1
"128","cheap",1,"negative",1
"129","cheaper",1,"positive",1
"130","cheats",1,"negative",1
"131","civility",1,"positive",1
"132","clash",1,"negative",1
"133","classic",2,"positive",1
"134","classy",1,"positive",1
"135","clean",1,"positive",1
"136","clear",7,"positive",1
"137","clearly",4,"positive",1
"138","clever",1,"positive",1
"139","cleverly",1,"positive",1
"140","clueless",3,"negative",1
"141","coherent",1,"positive",1
"142","collapse",88,"negative",1
"143","comforting",1,"positive",1
"144","commend",1,"positive",1
"145","commitment",1,"positive",1
"146","commonplace",1,"negative",1
"147","complacent",1,"negative",1
"148","complain",2,"negative",1
"149","complained",1,"negative",1
"150","complains",1,"negative",1
"151","complicated",1,"negative",1
"152","compliment",1,"positive",1
"153","comprehensive",1,"positive",1
"154","conceded",1,"negative",1
"155","concern",2,"negative",1
"156","concerned",3,"negative",1
"157","concerns",1,"negative",1
"158","condemn",2,"negative",1
"159","condemned",1,"negative",1
"160","conflict",3,"negative",1
"161","conflicts",2,"negative",1
"162","confused",1,"negative",1
"163","confuses",2,"negative",1
"164","confusion",1,"negative",1
"165","congratulations",1,"positive",1
"166","conservative",1,"negative",1
"167","conspiracy",1,"negative",1
"168","contamination",1,"negative",1
"169","contempt",1,"negative",1
"170","controversial",1,"negative",1
"171","convincing",1,"positive",1
"172","cool",3,"positive",1
"173","correct",3,"positive",1
"174","corrupt",22,"negative",1
"175","corrupted",4,"negative",1
"176","corruption",24,"negative",1
"177","costly",1,"negative",1
"178","crack",3,"negative",1
"179","cracked",1,"negative",1
"180","crap",4,"negative",1
"181","crash",5,"negative",1
"182","crashed",1,"negative",1
"183","crashes",4,"negative",1
"184","crass",2,"negative",1
"185","crazy",12,"negative",1
"186","creeping",1,"negative",1
"187","creepy",2,"negative",1
"188","crime",3,"negative",1
"189","criminal",3,"negative",1
"190","crisis",5,"negative",1
"191","critics",1,"negative",1
"192","crook",1,"negative",1
"193","crooks",2,"negative",1
"194","cruel",1,"negative",1
"195","cruelty",1,"negative",1
"196","crumble",11,"negative",1
"197","crumbling",23,"negative",1
"198","crush",1,"negative",1
"199","crushing",1,"negative",1
"200","cry",2,"negative",1
"201","cunt",2,"negative",1
"202","cunts",2,"negative",1
"203","cure",2,"positive",1
"204","cursed",2,"negative",1
"205","cute",1,"positive",1
"206","damage",2,"negative",1
"207","damn",7,"negative",1
"208","danger",3,"negative",1
"209","dangerous",3,"negative",1
"210","dark",13,"negative",1
"211","darkness",2,"negative",1
"212","dawn",2,"positive",1
"213","dead",15,"negative",1
"214","deadbeat",1,"negative",1
"215","deaf",2,"negative",1
"216","death",11,"negative",1
"217","debauchery",2,"negative",1
"218","debt",21,"negative",1
"219","debts",3,"negative",1
"220","decadence",10,"negative",1
"221","decadent",6,"negative",1
"222","decay",13,"negative",1
"223","deceit",2,"negative",1
"224","deceitful",1,"negative",1
"225","deceive",1,"negative",1
"226","decent",2,"positive",1
"227","deception",1,"negative",1
"228","decline",161,"negative",1
"229","declines",2,"negative",1
"230","declining",6,"negative",1
"231","defeat",6,"positive",1
"232","defeated",5,"positive",1
"233","defeats",1,"positive",1
"234","defective",1,"negative",1
"235","defensive",1,"negative",1
"236","degenerate",1,"negative",1
"237","degradation",1,"negative",1
"238","delusion",1,"negative",1
"239","delusions",1,"negative",1
"240","demise",19,"negative",1
"241","demon",2,"negative",1
"242","demonic",1,"negative",1
"243","deny",1,"negative",1
"244","deplorable",1,"negative",1
"245","depraved",3,"negative",1
"246","depressed",2,"negative",1
"247","depression",2,"negative",1
"248","desert",3,"negative",1
"249","desolation",1,"negative",1
"250","desperate",5,"negative",1
"251","desperately",1,"negative",1
"252","despised",1,"negative",1
"253","despot",1,"negative",1
"254","despotism",1,"negative",1
"255","destroy",22,"negative",1
"256","destroyer",1,"negative",1
"257","destruction",11,"negative",1
"258","destructive",1,"negative",1
"259","detest",1,"negative",1
"260","devil",3,"negative",1
"261","devoid",1,"negative",1
"262","dictator",9,"negative",1
"263","die",7,"negative",1
"264","died",5,"negative",1
"265","dies",6,"negative",1
"266","dignified",1,"positive",1
"267","dirty",1,"negative",1
"268","disagree",6,"negative",1
"269","disappointing",2,"negative",1
"270","disarray",2,"negative",1
"271","disaster",2,"negative",1
"272","disbelief",1,"negative",1
"273","discord",4,"negative",1
"274","discourage",1,"negative",1
"275","disgrace",4,"negative",1
"276","disgraceful",1,"negative",1
"277","disgust",1,"negative",1
"278","disgusting",3,"negative",1
"279","disintegration",2,"negative",1
"280","disorder",1,"negative",1
"281","disrupt",1,"negative",1
"282","disruption",1,"negative",1
"283","dissent",1,"negative",1
"284","dissidents",1,"negative",1
"285","dissolution",1,"negative",1
"286","distract",3,"negative",1
"287","distraction",1,"negative",1
"288","distrust",1,"negative",1
"289","disturbing",3,"negative",1
"290","divine",1,"positive",1
"291","dominate",1,"positive",1
"292","dominated",1,"positive",1
"293","doom",7,"negative",1
"294","doomed",19,"negative",1
"295","dope",1,"negative",1
"296","doubt",2,"negative",1
"297","doubts",2,"negative",1
"298","downfall",29,"negative",1
"299","downgrade",1,"negative",1
"300","downhill",2,"negative",1
"301","downsides",1,"negative",1
"302","draconian",1,"negative",1
"303","drag",1,"negative",1
"304","dragged",1,"negative",1
"305","drain",6,"negative",1
"306","drones",9,"negative",1
"307","drunk",2,"negative",1
"308","drunken",1,"negative",1
"309","dumb",2,"negative",1
"310","dump",2,"negative",1
"311","dumping",1,"negative",1
"312","dust",1,"negative",1
"313","dwindling",2,"negative",1
"314","dying",7,"negative",1
"315","dynamic",1,"positive",1
"316","eager",3,"positive",1
"317","easier",1,"positive",1
"318","easy",4,"positive",1
"319","educated",3,"positive",1
"320","effective",7,"positive",1
"321","effectively",1,"positive",1
"322","effectiveness",2,"positive",1
"323","efficient",1,"positive",1
"324","elite",6,"positive",1
"325","embarrass",1,"negative",1
"326","embarrassing",1,"negative",1
"327","eminent",1,"positive",1
"328","endorsed",2,"positive",1
"329","endorsement",1,"positive",1
"330","endorsing",2,"positive",1
"331","enemies",3,"negative",1
"332","enemy",9,"negative",1
"333","enjoy",5,"positive",1
"334","enjoyed",1,"positive",1
"335","enjoying",1,"positive",1
"336","enlightenment",1,"positive",1
"337","enough",13,"positive",1
"338","enthusiast",2,"positive",1
"339","envious",1,"negative",1
"340","envious",1,"positive",1
"341","envy",1,"positive",1
"342","epidemic",1,"negative",1
"343","equitable",3,"positive",1
"344","erase",1,"negative",1
"345","erosion",1,"negative",1
"346","eruptions",1,"negative",1
"347","ethical",1,"positive",1
"348","evenly",1,"positive",1
"349","evil",20,"negative",1
"350","exceed",1,"positive",1
"351","exceeded",1,"positive",1
"352","exceeding",1,"positive",1
"353","excellent",3,"positive",1
"354","exceptional",1,"positive",1
"355","excessive",1,"negative",1
"356","excited",1,"positive",1
"357","excuse",2,"negative",1
"358","expensive",3,"negative",1
"359","expired",1,"negative",1
"360","extraordinary",1,"positive",1
"361","fabulous",1,"positive",1
"362","fail",25,"negative",1
"363","failed",40,"negative",1
"364","failing",5,"negative",1
"365","fails",3,"negative",1
"366","failure",9,"negative",1
"367","failures",2,"negative",1
"368","fair",7,"positive",1
"369","faith",4,"positive",1
"370","faithful",1,"positive",1
"371","fake",4,"negative",1
"372","fall",694,"negative",1
"373","fallacy",2,"negative",1
"374","fallen",11,"negative",1
"375","falling",37,"negative",1
"376","falls",18,"negative",1
"377","false",3,"negative",1
"378","falsehood",1,"negative",1
"379","falter",1,"negative",1
"380","fame",1,"positive",1
"381","famous",8,"positive",1
"382","fans",2,"positive",1
"383","fantastic",3,"positive",1
"384","farce",2,"negative",1
"385","fascinating",4,"positive",1
"386","fascination",1,"positive",1
"387","fascism",6,"negative",1
"388","fascist",6,"negative",1
"389","fast",6,"positive",1
"390","faster",12,"positive",1
"391","fat",2,"negative",1
"392","fatal",2,"negative",1
"393","fatalistic",1,"negative",1
"394","fault",3,"negative",1
"395","faulty",1,"negative",1
"396","fav",1,"positive",1
"397","favor",1,"positive",1
"398","favorite",3,"positive",1
"399","favour",2,"positive",1
"400","fear",12,"negative",1
"401","fears",1,"negative",1
"402","fell",138,"negative",1
"403","fever",1,"negative",1
"404","filthy",1,"negative",1
"405","fine",9,"positive",1
"406","flawed",1,"negative",1
"407","fleeing",3,"negative",1
"408","fleeting",1,"negative",1
"409","flickering",1,"negative",1
"410","foe",1,"negative",1
"411","fooled",2,"negative",1
"412","foolish",2,"negative",1
"413","formidable",1,"positive",1
"414","fraud",1,"negative",1
"415","fraudulent",1,"negative",1
"416","free",19,"positive",1
"417","freed",1,"positive",1
"418","freedom",7,"positive",1
"419","freedoms",2,"positive",1
"420","fret",1,"negative",1
"421","fried",2,"negative",1
"422","frightening",2,"negative",1
"423","froze",1,"negative",1
"424","frozen",1,"negative",1
"425","fuck",13,"negative",1
"426","fucking",10,"negative",1
"427","fumes",1,"negative",1
"428","fun",11,"positive",1
"429","funny",8,"negative",1
"430","furious",1,"negative",1
"431","futile",1,"negative",1
"432","futility",1,"negative",1
"433","gain",1,"positive",1
"434","gains",1,"positive",1
"435","gasp",1,"negative",1
"436","gems",2,"positive",1
"437","genocide",4,"negative",1
"438","ghastly",1,"negative",1
"439","glad",5,"positive",1
"440","glorify",1,"positive",1
"441","glorious",2,"positive",1
"442","glory",7,"positive",1
"443","gold",9,"positive",1
"444","golden",3,"positive",1
"445","good",71,"positive",1
"446","gossip",1,"negative",1
"447","grand",3,"positive",1
"448","grandeur",1,"positive",1
"449","great",260,"positive",1
"450","greatest",20,"positive",1
"451","greatness",4,"positive",1
"452","greed",19,"negative",1
"453","greedy",4,"negative",1
"454","grief",1,"negative",1
"455","grossly",1,"negative",1
"456","guarantee",1,"positive",1
"457","guilty",1,"negative",1
"458","hail",7,"positive",1
"459","hallmark",1,"positive",1
"460","hang",2,"negative",1
"461","hangs",2,"negative",1
"462","happy",8,"positive",1
"463","hard",20,"negative",1
"464","hardball",1,"negative",1
"465","hate",7,"negative",1
"466","hated",2,"negative",1
"467","hates",3,"negative",1
"468","hating",1,"negative",1
"469","hazy",1,"negative",1
"470","headaches",1,"negative",1
"471","heal",3,"positive",1
"472","healthy",1,"positive",1
"473","heaven",1,"positive",1
"474","hegemony",4,"negative",1
"475","hell",18,"negative",1
"476","helped",7,"positive",1
"477","helping",3,"positive",1
"478","hero",2,"positive",1
"479","hideous",1,"negative",1
"480","hilarious",1,"positive",1
"481","hoax",2,"negative",1
"482","holy",168,"positive",1
"483","homage",1,"positive",1
"484","honest",3,"positive",1
"485","honor",2,"positive",1
"486","hooray",1,"positive",1
"487","hopelessly",1,"negative",1
"488","horrible",3,"negative",1
"489","hubris",2,"negative",1
"490","hug",1,"positive",1
"491","humor",1,"positive",1
"492","humorous",1,"positive",1
"493","hurt",2,"negative",1
"494","hurts",1,"negative",1
"495","hype",1,"negative",1
"496","hypocrisy",2,"negative",1
"497","hypocrites",1,"negative",1
"498","hypocritical",2,"negative",1
"499","hysteria",1,"negative",1
"500","ideal",2,"positive",1
"501","idiocy",1,"negative",1
"502","idiot",4,"negative",1
"503","idiotic",2,"negative",1
"504","idiots",5,"negative",1
"505","ignorance",4,"negative",1
"506","ignorant",9,"negative",1
"507","ignore",6,"negative",1
"508","illegal",10,"negative",1
"509","illegally",3,"negative",1
"510","illiterate",1,"negative",1
"511","illness",1,"negative",1
"512","illuminate",1,"positive",1
"513","illuminati",3,"positive",1
"514","illusions",1,"negative",1
"515","immense",1,"positive",1
"516","immoral",1,"negative",1
"517","immorality",5,"negative",1
"518","impaired",1,"negative",1
"519","impassioned",1,"positive",1
"520","impeach",6,"negative",1
"521","imperialist",3,"negative",1
"522","implode",3,"negative",1
"523","important",4,"positive",1
"524","impossible",2,"negative",1
"525","impress",1,"positive",1
"526","impressed",1,"positive",1
"527","impressive",3,"positive",1
"528","imprison",2,"negative",1
"529","improvements",1,"positive",1
"530","inability",1,"negative",1
"531","inadequate",1,"negative",1
"532","incompetence",1,"negative",1
"533","incompetent",2,"negative",1
"534","incomprehensible",1,"negative",1
"535","incorrect",1,"negative",1
"536","incredible",2,"positive",1
"537","ineffectual",1,"negative",1
"538","inefficient",1,"negative",1
"539","inept",1,"negative",1
"540","inequality",18,"negative",1
"541","inevitable",3,"negative",1
"542","inevitably",2,"negative",1
"543","inferior",1,"negative",1
"544","ingenuity",1,"positive",1
"545","innovation",1,"positive",1
"546","insane",4,"negative",1
"547","insanity",3,"negative",1
"548","insecurity",1,"negative",1
"549","insightful",2,"positive",1
"550","insignificance",1,"negative",1
"551","insinuation",1,"negative",1
"552","inspiration",1,"positive",1
"553","inspire",1,"positive",1
"554","instability",1,"negative",1
"555","instrumental",1,"positive",1
"556","insults",1,"negative",1
